deckname,numlands,cmc_avg,0,1,2,3,4,5,6,7,8,9,10,11,12,13
BR-Control,25,3.2285714285714286,0,2.0,10.0,11.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G-Paradox,22,1.868421052631579,3,12.0,16.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Improvise-U2,22,2.8157894736842106,12,6.0,0.0,4.0,3.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
ImproviseUB,24,3.388888888888889,0,7.0,7.0,7.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
Sultai-Control,25,3.057142857142857,0,8.0,5.0,10.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sultai-Evolution,25,2.888888888888889,0,8.0,7.0,13.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
U-Improvise,22,2.6052631578947367,12,4.0,0.0,7.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U-TurboFrost,23,2.7837837837837838,0,2.0,20.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG_Cascade,25,2.9714285714285715,1,6.0,9.0,7.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UG_Cascade_Greg,24,3.25,0,6.0,8.0,7.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UGr-Ramp-Greg,24,3.3333333333333335,0,10.0,9.0,6.0,2.0,0.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0
UR-Control,25,2.942857142857143,0,4.0,14.0,6.0,6.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UR-Spells-ideas,23,2.642857142857143,0,5.0,22.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
