Card Name	Decks	Avg
Fatal Push	45.0	3.3
Abrade	43.9	2.3
Vraska's Contempt	40.3	3.3
The Scarab God	31.7	2.3
Glint-Sleeve Siphoner	27.7	3.9
Chandra, Torch of Defiance	26.2	1.9
Bomat Courier	25.9	4.0
Hazoret the Fervent	25.2	3.5
Torrential Gearhulk	25.2	2.5
Search for Azcanta	24.5	2.0
Essence Scatter	24.1	2.3
Earthshaker Khenra	23.2	4.0
Magma Spray	22.4	2.3
Pia Nalaar	21.7	1.8
Rekindling Phoenix	21.1	3.0
Lightning Strike	20.2	3.8
Walking Ballista	19.2	3.2
Glimmer of Genius	19.1	3.0
Glorybringer	18.0	2.9
Supreme Will	17.6	2.1
Ahn-Crop Crasher	17.4	3.8
Champion of Wits	16.8	3.4
Harnessed Lightning	16.7	3.6
Shock	16.5	3.4
Jadelight Ranger	15.6	3.7
Disallow	15.3	3.4
Kari Zev, Skyship Raider	14.7	2.6
Aethersphere Harvester	14.4	2.2
Cast Out	13.6	2.7
Fanatical Firebrand	13.5	3.1
Scrapheap Scrounger	13.3	3.9
Blossoming Defense	12.4	2.7
Fumigate	12.1	2.5
Whirler Virtuoso	12.1	3.9
Gonti, Lord of Luxury	11.5	1.6
Merfolk Branchwalker	11.2	3.9
Censor	10.5	2.7
Legion's Landing	10.5	3.1
Moment of Craving	10.5	2.6
Ravenous Chupacabra	9.8	2.0
Unlicensed Disintegration	9.8	3.2
Settle the Wreckage	9.7	2.9
Soul-Scar Mage	9.7	3.8
Hieroglyphic Illumination	8.9	1.9
Sacred Cat	8.8	2.9
Liliana, Death's Majesty	8.6	1.5
Commit / Memory	8.5	1.4
Chart a Course	8.3	3.2
Servant of the Conduit	7.7	3.9
Verdurous Gearhulk	7.7	2.4
Winding Constrictor	7.6	4.0
Ixalan's Binding	7.3	2.6
Treasure Map	7.1	2.0
Angel of Invention	6.7	3.6
Approach of the Second Sun	6.7	2.9
Vraska, Relic Seeker	6.2	1.4
Baffling End	6.1	2.8
God-Pharaoh's Gift	6.1	3.0
Heart of Kiran	6.1	3.7
Hostage Taker	5.9	1.8
Rhonas the Indomitable	5.9	1.6
Bristling Hydra	5.8	3.9
Minister of Inquiries	5.8	3.8
Adanto Vanguard	5.6	3.9
Hadana's Climb	5.5	2.6
Rishkar, Peema Renegade	5.3	1.9
Toolcraft Exemplar	5.2	4.0
Doomfall	4.8	2.2
Dusk Legion Zealot	4.8	3.4
Adorned Pouncer	4.7	3.7
Gifted Aetherborn	4.7	3.8
Resilient Khenra	4.4	2.7
Veteran Motorist	4.1	3.3
Strategic Planning	3.9	3.8
Cut / Ribbons	3.8	1.6
Kitesail Freebooter	3.6	2.5
Refurbish	3.6	3.9
Struggle / Survive	3.6	2.0
Anointed Procession	3.5	4.0
Skymarcher Aspirant	3.5	3.7
Servo Exhibition	3.2	4.0
Cartouche of Knowledge	3.0	4.0
Hour of Promise	3.0	3.9
Thaumatic Compass	3.0	2.2
Appeal / Authority	2.9	3.8
Consign / Oblivion	2.9	1.1
Dread Wanderer	2.9	3.9
Sram's Expertise	2.9	3.6
Anointer Priest	2.7	3.7
Arguel's Blood Fast	2.7	1.7
Dire Fleet Daredevil	2.7	2.4
Renegade Map	2.7	3.8
Confiscation Coup	2.6	1.4
Gate to the Afterlife	2.6	3.9
Hidden Stockpile	2.6	4.0
Thopter Arrest	2.6	1.6
Mastermind's Acquisition	2.4	1.9
Captain Lannery Storm	2.3	2.2
Carnage Tyrant	2.3	2.1
Gideon of the Trials	2.3	1.5
Gift of Paradise	2.3	2.8
Profane Procession	2.3	1.1
Sunscourge Champion	2.3	2.1
Cartouche of Solidarity	2.1	3.7
Greenbelt Rampager	2.1	3.2
Martyr of Dusk	2.1	3.1
Regal Caracal	2.1	3.3
Vicious Conquistador	2.1	3.3
Curious Obsession	2.0	3.9
Invigorated Rampage	2.0	2.1
Negate	2.0	1.5
Radiant Destiny	2.0	3.8
Sweltering Suns	2.0	1.7
Thrashing Brontodon	2.0	1.6
Night Market Lookout	1.8	3.9
Oketra the True	1.8	1.3
Skysovereign, Consul Flagship	1.8	2.3
Sram, Senior Edificer	1.8	4.0
Battle at the Bridge	1.7	2.0
Fairgrounds Warden	1.7	1.4
Ghalta, Primal Hunger	1.7	2.2
Legion Lieutenant	1.7	4.0
Pull from Tomorrow	1.7	1.2
Spring / Mind	1.7	3.5
Start / Finish	1.7	2.5
Trophy Mage	1.7	1.7
Call to the Feast	1.5	4.0
Farm / Market	1.5	1.0
Hour of Devastation	1.5	1.2
Kumena's Speaker	1.5	4.0
Kumena, Tyrant of Orazca	1.5	3.0
Mavren Fein, Dusk Apostle	1.5	2.3
Merfolk Mistbinder	1.5	4.0
Ruin Raider	1.5	2.2
Silvergill Adept	1.5	4.0
Spell Pierce	1.5	1.7
Voltaic Brawler	1.5	4.0
Champion of Dusk	1.4	2.3
Deeproot Elite	1.4	3.3
Dive Down	1.4	1.7
Longtusk Cub	1.4	3.7
Nicol Bolas, God-Pharaoh	1.4	1.0
